track|batch|direction|regime|EMAstack|BB|FVG|SR|MTF2+|adverse|transition|lateCT|reset|breakout|tick|MA_BB|lossCombos
AUDUSD-1M|B5|BUY:0.0%(n=3),SELL:58.8%(n=17)|CHOPPY:62.5%(n=8),MIXED:44.4%(n=9),TRENDING:33.3%(n=3)|BEAR:52.9%(n=17),MIXED:33.3%(n=3)|BEAR_EXPANSION:0.0%(n=1),LOWER_REJECTION:100.0%(n=1),MID_RECLAIM:0.0%(n=1),NONE:52.9%(n=17)|ACCEPTED_THROUGH:100.0%(n=1),APPROACHING:0.0%(n=1),FULLY_MITIGATED:50.0%(n=6),MITIGATING:50.0%(n=8),REJECTED:50.0%(n=4)|AT RESISTANCE:0.0%(n=1),AT SUPPORT:55.6%(n=9),CLEAR:50.0%(n=10)|yes:52.9%(n=17),no:33.3%(n=3)|true:63.6%(n=11),false:33.3%(n=9)|true:40.0%(n=5),false:53.3%(n=15)|true:47.1%(n=17),false:66.7%(n=3)|true:47.4%(n=19),false:100.0%(n=1)|true:50.0%(n=4),false:50.0%(n=16)|true:56.2%(n=16),false:25.0%(n=4)|yes:0.0%(n=1)|LATE_COUNTERTREND+ADVERSE_ZONE+MTF_CONFLICT+FAIL_PROGRESS:2,LATE_COUNTERTREND+MTF_CONFLICT+EXTENDED+FAIL_PROGRESS+TRANSITION_RISK+UNRESOLVED_FVG:1,LATE_COUNTERTREND+MTF_CONFLICT+EXTENDED:1,LATE_COUNTERTREND+MTF_CONFLICT+FAIL_PROGRESS+UNRESOLVED_FVG:1
AUDUSD-2M|B4|BUY:30.0%(n=10),SELL:30.0%(n=10)|CHOPPY:27.3%(n=11),MIXED:33.3%(n=6),TRENDING:33.3%(n=3)|BEAR:0.0%(n=4),BULL:30.0%(n=10),MIXED:50.0%(n=6)|LOWER_REJECTION:0.0%(n=1),MID_REJECT:0.0%(n=1),NONE:31.2%(n=16),UPPER_REJECTION:50.0%(n=2)|ACCEPTED_THROUGH:0.0%(n=2),APPROACHING:50.0%(n=6),FULLY_MITIGATED:0.0%(n=3),MITIGATING:33.3%(n=6),REJECTED:33.3%(n=3)|AT RESISTANCE:57.1%(n=7),AT SUPPORT:10.0%(n=10),CLEAR:33.3%(n=3)|yes:30.0%(n=10),no:30.0%(n=10)|true:30.0%(n=10),false:30.0%(n=10)|true:50.0%(n=8),false:16.7%(n=12)|true:42.9%(n=14),false:0.0%(n=6)|true:26.3%(n=19),false:100.0%(n=1)|true:33.3%(n=3),false:29.4%(n=17)|true:20.0%(n=10),false:40.0%(n=10)|yes:30.0%(n=10)|LATE_COUNTERTREND+ADVERSE_ZONE+EXTENDED+FAIL_PROGRESS+UNRESOLVED_FVG:1,LATE_COUNTERTREND+ADVERSE_ZONE+EXTENDED+FAIL_PROGRESS+UNRESOLVED_FVG+CHOP:1,FAIL_PROGRESS+TRANSITION_RISK+UNRESOLVED_FVG:1,MTF_CONFLICT+UNRESOLVED_FVG:1
AUDUSD-3M|B4|BUY:40.0%(n=10),SELL:50.0%(n=10)|CHOPPY:14.3%(n=7),MIXED:50.0%(n=8),TRENDING:80.0%(n=5)|BEAR:60.0%(n=5),BULL:44.4%(n=9),MIXED:33.3%(n=6)|LOWER_REJECTION:100.0%(n=2),MID_REJECT:0.0%(n=1),NONE:43.8%(n=16),UPPER_REJECTION:0.0%(n=1)|ACCEPTED_THROUGH:0.0%(n=1),APPROACHING:50.0%(n=2),FULLY_MITIGATED:50.0%(n=2),MITIGATING:40.0%(n=10),REJECTED:60.0%(n=5)|AT RESISTANCE:66.7%(n=3),AT SUPPORT:45.5%(n=11),CLEAR:33.3%(n=6)|yes:50.0%(n=10),no:40.0%(n=10)|true:33.3%(n=12),false:62.5%(n=8)|true:50.0%(n=6),false:42.9%(n=14)|true:40.0%(n=15),false:60.0%(n=5)|true:45.0%(n=20),false:None%(n=0)|true:50.0%(n=2),false:44.4%(n=18)|true:40.0%(n=10),false:50.0%(n=10)|yes:33.3%(n=6)|ADVERSE_ZONE:1,LATE_COUNTERTREND+ADVERSE_ZONE+EXTENDED+FAIL_PROGRESS+TRANSITION_RISK+UNRESOLVED_FVG:1,LATE_COUNTERTREND+ADVERSE_ZONE+FAIL_PROGRESS+TRANSITION_RISK+UNRESOLVED_FVG:1,LATE_COUNTERTREND+ADVERSE_ZONE+FAIL_PROGRESS:1
AUDUSD-5M|B3|BUY:60.0%(n=16),SELL:50.0%(n=4)|CHOPPY:57.1%(n=7),MIXED:71.4%(n=7),TRENDING:40.0%(n=6)|BULL:57.1%(n=15),MIXED:60.0%(n=5)|BULL_EXPANSION:0.0%(n=3),MID_REJECT:0.0%(n=1),NONE:68.8%(n=16)|ACCEPTED_THROUGH:50.0%(n=2),APPROACHING:75.0%(n=4),FULLY_MITIGATED:20.0%(n=5),MITIGATING:71.4%(n=8),REJECTED:100.0%(n=1)|AT RESISTANCE:88.9%(n=9),AT SUPPORT:60.0%(n=5),CLEAR:0.0%(n=6)|yes:50.0%(n=4),no:60.0%(n=16)|true:90.9%(n=12),false:12.5%(n=8)|true:100.0%(n=4),false:50.0%(n=16)|true:90.0%(n=11),false:22.2%(n=9)|true:68.8%(n=17),false:0.0%(n=3)|true:16.7%(n=6),false:76.9%(n=14)|true:71.4%(n=7),false:50.0%(n=13)|yes:61.5%(n=14)|EXTENDED:2,MTF_CONFLICT+UNRESOLVED_FVG:2,EXTENDED+FAIL_PROGRESS:1,OTHER:1
EURJPY-1M|B5|BUY:0.0%(n=4),SELL:50.0%(n=16)|CHOPPY:33.3%(n=15),MIXED:75.0%(n=4),TRENDING:0.0%(n=1)|BEAR:42.9%(n=14),BULL:33.3%(n=6)|BEAR_EXPANSION:66.7%(n=3),BULL_EXPANSION:0.0%(n=1),LOWER_REJECTION:0.0%(n=1),MID_REJECT:100.0%(n=1),NONE:38.5%(n=13),UPPER_REJECTION:0.0%(n=1)|ACCEPTED_THROUGH:100.0%(n=1),APPROACHING:100.0%(n=1),FULLY_MITIGATED:33.3%(n=12),MITIGATING:66.7%(n=3),REJECTED:0.0%(n=3)|AT SUPPORT:35.3%(n=17),CLEAR:66.7%(n=3)|yes:0.0%(n=3),no:47.1%(n=17)|true:28.6%(n=14),false:66.7%(n=6)|true:33.3%(n=6),false:42.9%(n=14)|true:28.6%(n=14),false:66.7%(n=6)|true:38.9%(n=18),false:50.0%(n=2)|true:25.0%(n=4),false:43.8%(n=16)|true:58.3%(n=12),false:12.5%(n=8)|yes:40.0%(n=5)|LATE_COUNTERTREND+ADVERSE_ZONE+FAIL_PROGRESS:2,LATE_COUNTERTREND+ADVERSE_ZONE+EXTENDED+FAIL_PROGRESS:2,LATE_COUNTERTREND+ADVERSE_ZONE+TRANSITION_RISK+CHOP:1,FAIL_PROGRESS+TRANSITION_RISK:1
EURJPY-2M|B4|BUY:33.3%(n=3),SELL:70.6%(n=17)|CHOPPY:75.0%(n=8),MIXED:63.6%(n=11),TRENDING:0.0%(n=1)|BEAR:73.3%(n=15),BULL:0.0%(n=1),MIXED:50.0%(n=4)|BEAR_EXPANSION:33.3%(n=3),LOWER_REJECTION:100.0%(n=1),MID_REJECT:100.0%(n=1),NONE:66.7%(n=15)|ACCEPTED_THROUGH:80.0%(n=10),FULLY_MITIGATED:100.0%(n=5),MITIGATING:0.0%(n=4),REJECTED:0.0%(n=1)|AT RESISTANCE:33.3%(n=3),AT SUPPORT:80.0%(n=10),CLEAR:57.1%(n=7)|yes:33.3%(n=3),no:70.6%(n=17)|true:70.0%(n=10),false:60.0%(n=10)|true:100.0%(n=2),false:61.1%(n=18)|true:77.8%(n=9),false:54.5%(n=11)|true:62.5%(n=16),false:75.0%(n=4)|true:66.7%(n=6),false:64.3%(n=14)|true:75.0%(n=16),false:25.0%(n=4)|yes:0.0%(n=1)|EXTENDED+FAIL_PROGRESS+UNRESOLVED_FVG:2,OTHER:1,ADVERSE_ZONE+MTF_CONFLICT:1,LATE_COUNTERTREND+ADVERSE_ZONE+MTF_CONFLICT+FAIL_PROGRESS+UNRESOLVED_FVG:1
EURJPY-3M|B4|BUY:50.0%(n=6),SELL:50.0%(n=14)|CHOPPY:46.7%(n=15),MIXED:60.0%(n=5)|BEAR:53.8%(n=13),MIXED:42.9%(n=7)|MID_RECLAIM:0.0%(n=1),MID_REJECT:50.0%(n=2),NONE:52.9%(n=17)|ACCEPTED_THROUGH:0.0%(n=2),FULLY_MITIGATED:46.2%(n=13),MITIGATING:66.7%(n=3),REJECTED:100.0%(n=2)|AT RESISTANCE:40.0%(n=5),AT SUPPORT:53.8%(n=13),CLEAR:50.0%(n=2)|yes:50.0%(n=6),no:50.0%(n=14)|true:42.9%(n=14),false:66.7%(n=6)|true:33.3%(n=9),false:63.6%(n=11)|true:46.7%(n=15),false:60.0%(n=5)|true:50.0%(n=20),false:None%(n=0)|true:0.0%(n=2),false:55.6%(n=18)|true:54.5%(n=11),false:44.4%(n=9)|yes:0.0%(n=1)|LATE_COUNTERTREND+ADVERSE_ZONE+FAIL_PROGRESS+TRANSITION_RISK+CHOP:3,LATE_COUNTERTREND+ADVERSE_ZONE+FAIL_PROGRESS+TRANSITION_RISK:1,LATE_COUNTERTREND+ADVERSE_ZONE+MTF_CONFLICT+EXTENDED:1,LATE_COUNTERTREND+ADVERSE_ZONE+MTF_CONFLICT:1
EURJPY-5M|B3|SELL:55.0%(n=20)|CHOPPY:50.0%(n=4),MIXED:70.0%(n=10),TRENDING:33.3%(n=6)|BEAR:57.9%(n=19),MIXED:0.0%(n=1)|BEAR_EXPANSION:100.0%(n=1),LOWER_REJECTION:0.0%(n=2),NONE:58.8%(n=17)|ACCEPTED_THROUGH:100.0%(n=1),APPROACHING:100.0%(n=2),FULLY_MITIGATED:60.0%(n=10),MITIGATING:33.3%(n=6),REJECTED:0.0%(n=1)|AT RESISTANCE:40.0%(n=5),AT SUPPORT:50.0%(n=8),CLEAR:71.4%(n=7)|yes:None%(n=0),no:55.0%(n=20)|true:55.6%(n=9),false:54.5%(n=11)|true:25.0%(n=4),false:62.5%(n=16)|true:42.9%(n=7),false:61.5%(n=13)|true:47.1%(n=17),false:100.0%(n=3)|true:33.3%(n=6),false:64.3%(n=14)|true:42.9%(n=7),false:61.5%(n=13)|yes:None%(n=0)|EXTENDED+FAIL_PROGRESS+UNRESOLVED_FVG:2,EXTENDED+UNRESOLVED_FVG:1,LATE_COUNTERTREND+ADVERSE_ZONE+EXTENDED+UNRESOLVED_FVG:1,LATE_COUNTERTREND+ADVERSE_ZONE:1
EURUSD-1M|B5|BUY:44.4%(n=9),SELL:36.4%(n=11)|CHOPPY:43.8%(n=16),MIXED:25.0%(n=4)|BEAR:53.8%(n=13),MIXED:14.3%(n=7)|BEAR_EXPANSION:0.0%(n=2),MID_RECLAIM:0.0%(n=2),MID_REJECT:100.0%(n=1),NONE:58.3%(n=12),UPPER_REJECTION:0.0%(n=3)|ACCEPTED_THROUGH:50.0%(n=2),APPROACHING:33.3%(n=3),FULLY_MITIGATED:33.3%(n=6),MITIGATING:50.0%(n=6),REJECTED:33.3%(n=3)|AT SUPPORT:37.5%(n=16),CLEAR:50.0%(n=4)|yes:41.7%(n=12),no:37.5%(n=8)|true:27.3%(n=11),false:55.6%(n=9)|true:14.3%(n=7),false:53.8%(n=13)|true:33.3%(n=15),false:60.0%(n=5)|true:38.9%(n=18),false:50.0%(n=2)|true:0.0%(n=4),false:50.0%(n=16)|true:50.0%(n=8),false:33.3%(n=12)|yes:0.0%(n=2)|LATE_COUNTERTREND+ADVERSE_ZONE+FAIL_PROGRESS+TRANSITION_RISK+CHOP:2,LATE_COUNTERTREND+MTF_CONFLICT+EXTENDED+UNRESOLVED_FVG:2,TRANSITION_RISK+UNRESOLVED_FVG+CHOP:1,LATE_COUNTERTREND+ADVERSE_ZONE+MTF_CONFLICT+FAIL_PROGRESS+TRANSITION_RISK+CHOP:1
EURUSD-2M|B4|BUY:71.4%(n=7),SELL:54.5%(n=13)|CHOPPY:83.3%(n=6),MIXED:50.0%(n=10),TRENDING:50.0%(n=4)|BEAR:50.0%(n=10),MIXED:70.0%(n=10)|BEAR_EXPANSION:100.0%(n=1),MID_REJECT:50.0%(n=2),NONE:60.0%(n=17)|ACCEPTED_THROUGH:66.7%(n=6),FULLY_MITIGATED:50.0%(n=12),MITIGATING:100.0%(n=2)|AT RESISTANCE:100.0%(n=1),AT SUPPORT:58.8%(n=19)|yes:50.0%(n=12),no:75.0%(n=8)|true:50.0%(n=11),false:75.0%(n=9)|true:71.4%(n=8),false:54.5%(n=12)|true:45.5%(n=13),false:85.7%(n=7)|true:64.7%(n=18),false:0.0%(n=2)|true:33.3%(n=3),false:66.7%(n=17)|true:66.7%(n=6),false:58.3%(n=14)|yes:None%(n=0)|LATE_COUNTERTREND+MTF_CONFLICT+FAIL_PROGRESS:1,LATE_COUNTERTREND+ADVERSE_ZONE+MTF_CONFLICT+EXTENDED:1,LATE_COUNTERTREND+ADVERSE_ZONE+MTF_CONFLICT+TRANSITION_RISK:1,LATE_COUNTERTREND+ADVERSE_ZONE+MTF_CONFLICT+TRANSITION_RISK+CHOP:1
