track|batch|W/L/T acc|57-61.9|>=62|cumulative|maxLoss
AUDUSD-15M|B1|13/6/1 68.4% n=20|2/0/0 100.0% n=2|11/6/1 64.7% n=18|15/7/1 68.2% n=23|2
AUDUSD-1M|B4|10/9/1 52.6% n=20|3/1/0 75.0% n=4|7/8/1 46.7% n=16|43/33/4 56.6% n=80|2
AUDUSD-2M|B3|14/5/1 73.7% n=20|1/2/0 33.3% n=3|13/3/1 81.2% n=17|37/32/1 53.6% n=70|3
AUDUSD-3M|B3|8/9/3 47.1% n=20|1/1/1 50.0% n=3|7/8/2 46.7% n=17|26/29/5 47.3% n=60|3
AUDUSD-5M|B2|13/7/0 65.0% n=20|3/0/0 100.0% n=3|10/7/0 58.8% n=17|31/16/1 66.0% n=48|3
EURJPY-15M|B1|17/3/0 85.0% n=20|-|17/3/0 85.0% n=20|20/3/0 87.0% n=23|1
EURJPY-1M|B4|8/12/0 40.0% n=20|-|8/12/0 40.0% n=20|33/44/3 42.9% n=80|6
EURJPY-2M|B3|7/13/0 35.0% n=20|3/2/0 60.0% n=5|4/11/0 26.7% n=15|40/35/0 53.3% n=75|3
EURJPY-3M|B3|10/10/0 50.0% n=20|0/1/0 0.0% n=1|10/9/0 52.6% n=19|34/29/0 54.0% n=63|3
EURJPY-5M|B2|12/7/1 63.2% n=20|-|12/7/1 63.2% n=20|30/19/1 61.2% n=50|2
EURUSD-15M|B1|10/9/1 52.6% n=20|2/0/0 100.0% n=2|8/9/1 47.1% n=18|11/11/1 50.0% n=23|2
EURUSD-1M|B4|6/14/0 30.0% n=20|3/2/0 60.0% n=5|3/12/0 20.0% n=15|36/42/2 46.2% n=80|5
EURUSD-2M|B3|8/12/0 40.0% n=20|0/3/0 0.0% n=3|8/9/0 47.1% n=17|31/36/4 46.3% n=71|5
EURUSD-3M|B3|10/10/0 50.0% n=20|0/3/0 0.0% n=3|10/7/0 58.8% n=17|29/29/2 50.0% n=60|4
EURUSD-5M|B2|11/9/0 55.0% n=20|2/2/0 50.0% n=4|9/7/0 56.2% n=16|23/25/0 47.9% n=48|4
GBPUSD-15M|B1|12/8/0 60.0% n=20|-|12/8/0 60.0% n=20|12/11/0 52.2% n=23|2
GBPUSD-1M|B4|8/11/1 42.1% n=20|0/2/0 0.0% n=2|8/9/1 47.1% n=18|37/39/4 48.7% n=80|3
GBPUSD-2M|B3|7/12/1 36.8% n=20|1/1/0 50.0% n=2|6/11/1 35.3% n=18|31/37/4 45.6% n=72|4
GBPUSD-3M|B2|9/10/1 47.4% n=20|0/3/0 0.0% n=3|9/7/1 56.2% n=17|27/29/3 48.2% n=59|5
GBPUSD-5M|B2|9/11/0 45.0% n=20|0/2/0 0.0% n=2|9/9/0 50.0% n=18|22/24/1 47.8% n=47|3
USDJPY-15M|B1|14/5/1 73.7% n=20|1/0/0 100.0% n=1|13/5/1 72.2% n=19|17/5/1 77.3% n=23|2
USDJPY-1M|B4|12/7/1 63.2% n=20|2/0/0 100.0% n=2|10/7/1 58.8% n=18|47/31/2 60.3% n=80|2
USDJPY-2M|B3|10/10/0 50.0% n=20|4/1/0 80.0% n=5|6/9/0 40.0% n=15|43/30/1 58.9% n=74|4
USDJPY-3M|B3|10/9/1 52.6% n=20|0/1/0 0.0% n=1|10/8/1 55.6% n=19|33/28/2 54.1% n=63|3
USDJPY-5M|B2|11/9/0 55.0% n=20|2/1/0 66.7% n=3|9/8/0 52.9% n=17|29/19/0 60.4% n=48|3
